"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"Maize (grain)","30","50","60","40","180","April","East Africa (alt.)",NA
"25","40","45","30","140","Dec/Jan","Arid Climate",NA,NA
"20","35","40","30","125","June","Nigeria (humid)",NA,NA
"20","35","40","30","125","October","India (dry, cool)",NA,NA
"30","40","50","30","150","April","Spain (spr, sum.); Calif.",NA,NA
"30","40","50","50","170","April","Idaho, USA",NA,NA
"Maize (sweet)","20","20","30","10","80","March","Philippines",NA
"20","25","25","10","80","May/June","Mediterranean",NA,NA
"20","30","50/30","10","90","Oct/Dec","Arid Climate",NA,NA
"30","30","30","103","110","April","Idaho, USA",NA,NA
"20","40","70","10","140","Jan","Calif. Desert, USA",NA,NA
"Millet","15","25","40","25","105","June","Pakistan",NA
"20","30","55","35","140","April","Central USA",NA,NA
"Sorghum","20","35","40","30","130","May/June","USA, Pakis., Med.",NA
"20","35","45","30","140","Mar/April","Arid Region",NA,NA
"Rice","30","30","60","30","150","Dec; May","Tropics; Mediterranean",NA
"30","30.","80","40","180","May","Tropics",NA,NA
"j. Forages",NA,NA,NA,NA,NA,NA,NA,NA
"Alfalfa, total season 4","10","30","var.","var.","var.","","last -4°C in spring until first -4°C in fall",NA
"Alfalfa 4 1st cutting cycle","10","20","20","10","60","Jan Apr (last - 4°C)","Calif., USA.",NA
"10","30","25","10","75","","Idaho, USA.",NA,NA
"Alfalfa 4, other cutting cycles","5","10","10","5","30","Mar","Calif., USA.",NA
"5","20","10","10","45","Jun","Idaho, USA.",NA,NA
"Bermuda for seed","10","25","35","35","105","March","Calif. Desert, USA",NA
"Bermuda for hay (several cuttings)","10","15","75","35","135","---","Calif. Desert, USA",NA
"Grass Pasture 4","10","20","--","--","--","","7 days before last -4°C in spring until 7 days after first -4°C 
        in fall",NA
"Sudan, 1st cutting cycle","25","25","15","10","75","Apr","Calif. Desert, USA",NA
"Sudan, other cutting cycles","3","15","12","7","37","June","Calif. Desert, USA",NA
"k. Sugar Cane",NA,NA,NA,NA,NA,NA,NA,NA
"Sugarcane, virgin","35","60","190","120","405","","Low Latitudes",NA
"50","70","220","140","480","","Tropics",NA,NA
"75","105","330","210","720","","Hawaii, USA",NA,NA
"Sugarcane, ratoon","25","70","135","50","280","","Low Latitudes",NA
"30","50","180","60","320","","Tropics",NA,NA
"35","105","210","70","420","","Hawaii, USA",NA,NA
"l. Tropical Fruits and Trees",NA,NA,NA,NA,NA,NA,NA,NA
"Banana, 1st yr","120","90","120","60","390","Mar","Mediterranean",NA
"Banana, 2nd yr","120","60","180","5","365","Feb","Mediterranean",NA
"Pineapple","60","120","600","10","790","","Hawaii, USA",NA
"m. Grapes and Berries",NA,NA,NA,NA,NA,NA,NA,NA
"Grapes","20","40","120","60","240","April","Low Latitudes",NA
"20","50","75","60","205","Mar","Calif., USA",NA,NA
"20","50","90","20","180","May","High Latitudes",NA,NA
"30","60","40","80","210","April","Mid Latitudes (wine)",NA,NA
"Hops","25","40","80","10","155","April","Idaho, USA",NA
"n. Fruit Trees",NA,NA,NA,NA,NA,NA,NA,NA
"Citrus","60","90","120","95","365","Jan","Mediterranean",NA
"Deciduous Orchard","20","70","90","30","210","March","High Latitudes",NA
"20","70","120","60","270","March","Low Latitudes",NA,NA
"30","50","130","30","240","March","Calif., USA",NA,NA
"Olives","30","90","60","90","2705","March","Mediterranean",NA
"Pistachios","20","60","30","40","150","Feb","Mediterranean",NA
"Walnuts","20","10","130","30","190","April","Utah, USA",NA
"o. Wetlands - Temperate Climate",NA,NA,NA,NA,NA,NA,NA,NA
"Wetlands (Cattails, Bulrush)","10","30","80","20","140","May","Utah, USA; killing frost",NA
"180","60","90","35","365","November","Florida, USA",NA,NA
"Wetlands (short veg.)","180","60","90","35","365","November","frost-free climate",NA
