"V1","V2","V3","V4","V5","V6"
"Sorghum","","","","",NA
"","- grain","","1.00-1.10","0.55","1-2"
"","- sweet","","1.20","1.05","2-4"
"Rice","1.05","1.20","0.90-0.60","1",NA
"j. Forages",NA,NA,NA,NA,NA
"Alfalfa Hay","","","","",NA
"","- averaged cutting effects","0.40","0.9513","0.90","0.7"
"","- individual cutting periods","0.4014","1.2014","1.1514","0.7"
"","- for seed","0.40","0.50","0.50","0.7"
"Bermuda hay","","","","",NA
"","- averaged cutting effects","0.55","1.0013","0.85","0.35"
"","- Spring crop for seed","0.35","0.90","0.65","0.4"
"Clover hay, Berseem","","","","",NA
"","- averaged cutting effects","0.40","0.9013","0.85","0.6"
"","- individual cutting periods","0.4014","1.1514","1.1014","0.6"
"Rye Grass hay","","","","",NA
"","- averaged cutting effects","0.95","1.05","1.00","0.3"
"Sudan Grass hay (annual)","","","","",NA
"","- averaged cutting effects","0.50","0.9014","0.85","1.2"
"","- individual cutting periods","0.5014","1.1514","1.1014","1.2"
"Grazing Pasture","","","","",NA
"","- Rotated Grazing","0.40","0.85-1.05","0.85","0.15-0.30"
"","- Extensive Grazing","0.30","0.75","0.75","0.10"
"Turf grass","","","","",NA
"","- cool season 15","0.90","0.95","0.95","0.10"
"","- warm season 15","0.80","0.85","0.85","0.10"
"k. Sugar Cane","0.40","1.25","0.75","3",NA
"l. Tropical Fruits and Trees",NA,NA,NA,NA,NA
"Banana","","","","",NA
"","- 1st year","0.50","1.10","1.00","3"
"","- 2nd year","1.00","1.20","1.10","4"
"Cacao","1.00","1.05","1.05","3",NA
"Coffee","","","","",NA
"","- bare ground cover","0.90","0.95","0.95","2-3"
"","- with weeds","1.05","1.10","1.10","2-3"
"Date Palms","0.90","0.95","0.95","8",NA
"Palm Trees","0.95","1.00","1.00","8",NA
"Pineapple 16","","","","",NA
"","- bare soil","0.50","0.30","0.30","0.6-1.2"
"","- with grass cover","0.50","0.50","0.50","0.6-1.2"
"Rubber Trees","0.95","1.00","1.00","10",NA
"Tea","","","","",NA
"","- non-shaded","0.95","1.00","1.00","1.5"
"","- shaded 17","1.10","1.15","1.15","2"
"m. Grapes and Berries",NA,NA,NA,NA,NA
"Berries (bushes)","0.30","1.05","0.50","1.5",NA
"Grapes","","","","",NA
"","- Table or Raisin","0.30","0.85","0.45","2"
"","- Wine","0.30","0.70","0.45","1.5-2"
"Hops","0.3","1.05","0.85","5",NA
"n. Fruit Trees",NA,NA,NA,NA,NA
"Almonds, no ground cover","0.40","0.90","0.6518","5",NA
"Apples, Cherries, Pears 19","","","","",NA
"","- no ground cover, killing frost","0.45","0.95","0.7018","4"
"","- no ground cover, no frosts","0.60","0.95","0.7518","4"
"","- active ground cover, killing frost","0.50","1.20","0.9518","4"
"","- active ground cover, no frosts","0.80","1.20","0.8518","4"
"Apricots, Peaches, Stone Fruit 19, 20","","","","",NA
"","- no ground cover, killing frost","0.45","0.90","0.6518","3"
"","- no ground cover, no frosts","0.55","0.90","0.6518","3"
"","- active ground cover, killing frost","0.50","1.15","0.9018","3"
"","- active ground cover, no frosts","0.80","1.15","0.8518","3"
"Avocado, no ground cover","0.60","0.85","0.75","3",NA
"Citrus, no ground cover 21","","","","",NA
"","- 70% canopy","0.70","0.65","0.70","4"
"","- 50% canopy","0.65","0.60","0.65","3"
"","- 20% canopy","0.50","0.45","0.55","2"
"Citrus, with active ground cover or weeds 22","","","","",NA
"","- 70% canopy","0.75","0.70","0.75","4"
"","- 50% canopy","0.80","0.80","0.80","3"
"","- 20% canopy","0.85","0.85","0.85","2"
"Conifer Trees 23","1.00","1.00","1.00","10",NA
"Kiwi","0.40","1.05","1.05","3",NA
"Olives (40 to 60% ground coverage by canopy) 24","0.65","0.70","0.70","3-5",NA
"Pistachios, no ground cover","0.40","1.10","0.45","3-5",NA
"Walnut Orchard 19","0.50","1.10","0.6518","4-5",NA
"o. Wetlands - temperate climate",NA,NA,NA,NA,NA
"Cattails, Bulrushes, killing frost","0.30","1.20","0.30","2",NA
"Cattails, Bulrushes, no frost","0.60","1.20","0.60","2",NA
"Short Veg., no frost","1.05","1.10","1.10","0.3",NA
"Reed Swamp, standing water","1.00","1.20","1.00","1-3",NA
"Reed Swamp, moist soil","0.90","1.20","0.70","1-3",NA
"p. Special",NA,NA,NA,NA,NA
"Open Water, < 2 m depth or in subhumid climates or tropics","","1.05","1.05","",NA
"Open Water, > 5 m depth, clear of turbidity, temperate climate","","0.6525","1.2525","",NA
